2 ,0.0111	,2169.122
3 ,0.01845	,2169.162	
4 ,0.03054	,0	
5 ,0.05324	,0	
6 ,0.07977	,2169.122	
7 ,0.20097	,2169.162	
8 ,0.49385	,2169.162	
9 ,1.32039	,2169.122	
10,3.07895	,0	
11,5.5984	,2169.122	
12,8.35617	,2169.122	
13,10.98921	,0	
14,12.75043	,0	
15,13.31291	,0	
16,13.41846	,0	
17,13.44985	,0	
18,13.46535	,0	
19,13.47578	,0	
20,13.49851	,2169.162	
24,13.50012	,2169.162	
21,13.51902	,2169.082

      	
      	
      	
      	
      	
      	
      	
      	
		
		
		
		
		
		
		
		
		
		
		
		


