2	,0.01002	,1228.281
3	,0.01528	,1228.281
4	,0.02386	,1228.241
5	,0.03875	,1228.241
6	,0.06591	,1228.241
7	,0.13281	,1228.321
8	,0.31161	,1228.361
9	,0.79105	,1228.281
10	,1.82064	,1228.321
11	,3.29952	,1228.321
12	,4.95001	,1228.281
13	,6.61566	,1228.361
14	,7.67814	,1228.281
15	,7.87917	,1228.361
16	,7.8615	,1228.201
17	,7.84519,	1228.241
18	,7.8421	,1228.361
19	,7.83983,	1228.241
20	,7.84289,	1228.241
21	,7.84065,	1228.321
22	,7.8393	,1228.281
23	,7.83915,	1228.241
24	,7.82177,	1228.201
25	,7.82511,	1228.321
26	,7.8222	,1228.281
27	,7.83544,	1228.321
28	,7.83048,	1228.241
29	,7.8203	,1228.281
30	,7.81287	,1228.201
31	,7.83419	,1228.281
32	,7.86139	,1228.241
33	,7.87774	,1228.201
34	,7.61859	,1228.281
35	,6.45349	,1228.361
36	,4.75878	,1228.481
37	,3.10148,	1228.481
38	,1.68923,	1228.481
39	,0.72127,	1228.361
40	,0.29028,	1228.321
41	,0.12897,	1228.481
42	,0.06685,	1228.361
43	,0.04099,	1228.441
44	,0.02372,	1228.441
45	,0.01483,	1228.401
46	,0.0099	,1228.441
47	,0.00674,	1228.401
